时间,位置,discord消息链接
2026-01-19 13:31:38,20260213-001,https://discord.com/channels/1374796952688136262/1374797975452127332/1462680805296832673
2026-01-19 13:31:48,20260213-001,https://discord.com/channels/1374796952688136262/1374797975452127332/1462680805296832673
2026-01-19 13:31:53,20260213-001,https://discord.com/channels/1374796952688136262/1374797975452127332/1462680809378152563
2026-01-19 13:32:20,20260213-001,https://discord.com/channels/1374796952688136262/1374797975452127332/1462680809378152563
2026-01-19 13:33:50,20260213-001,https://discord.com/channels/1374796952688136262/1374797975452127332/1462680832362807430
2026-01-19 13:34:00,20260213-001,https://discord.com/channels/1374796952688136262/1374797975452127332/1462680832362807430
2026-01-19 13:40:20,지정석-201-1- -201구역 4열-8,https://discord.com/channels/1374796952688136262/1374797975452127332/1462682934422016156
2026-01-19 13:41:29,지정석-201-1- -201구역 4열-8,https://discord.com/channels/1374796952688136262/1374797975452127332/1462682934422016156
2026-01-19 13:43:39,지정석-415-1- -B5구역 13열-7,https://discord.com/channels/1374796952688136262/1374797975452127332/1462682928910958789
2026-01-19 13:43:41,지정석-415-1- -B5구역 13열-7,https://discord.com/channels/1374796952688136262/1374797975452127332/1462682928910958789
2026-01-19 13:43:55,지정석-206-1- -206구역 4열-18,https://discord.com/channels/1374796952688136262/1374797975452127332/1462682961701765161
2026-01-19 13:44:01,지정석-206-1- -206구역 4열-18,https://discord.com/channels/1374796952688136262/1374797975452127332/1462682961701765161
2026-01-19 13:51:38,20260213-001 지정석-215-1- -A5구역 10열-24,https://discord.com/channels/1374796952688136262/1374797975452127332/1462685831864127581
2026-01-19 13:52:13,20260213-001 지정석-215-1- -A5구역 11열-7,https://discord.com/channels/1374796952688136262/1374797975452127332/1462685865494183974
2026-01-19 13:52:16,20260213-001 지정석-215-1- -A5구역 8열-13,https://discord.com/channels/1374796952688136262/1374797975452127332/1462685850935496805
2026-01-19 13:52:19,20260213-001 지정석-413-1- -B3구역 9열-11,https://discord.com/channels/1374796952688136262/1374797975452127332/1462685867960434770
2026-01-19 13:52:20,20260213-001 지정석-413-1- -B3구역 9열-7,https://discord.com/channels/1374796952688136262/1374797975452127332/1462685860645437493
2026-01-19 14:04:14,20260213-001 지정석-301-1- -301구역 18열-9,https://discord.com/channels/1374796952688136262/1374797975452127332/1462689046202421250
2026-01-19 14:04:16,20260213-001 지정석-401-1- -401구역 7열-7,https://discord.com/channels/1374796952688136262/1374797975452127332/1462689055983534171
